"corpus"	"match_position"	"left context"	"match"	"right_context"	"text_recipient"	"text_sender"	"text_year"
"Semperi ja Barbaruse kirjavahetus"	"5081"	"Ja õieti , ega’s minugi „ Loomingule "" saadet värsid polnud paremad hispaanlaste omist : samuti ebaselged , ebatäpsad , ehk jälle EKL-u glooriat tumestavad . Nii on muidugi hää , kuidas Sina toimisid , nii on parem Sulle ja mulle , kuigi koosoleku meeleolu oli edasi antud minu parima äratundmise järele . Võib olla ei saa ma ketserina kunagi ühtki asja pühaku seisukohalt käsitada , ja väljendan vahel , eriti nüüdsel ülesehituse ajastul , nördimust ka sarnase auväärt asutuse suhtes /õigemine ühe osa kohta!/ , nagu seda on meie vaimustaab . Ent pettumus tekkis enne ülesköet vaimlise pinge puudusest , sest mulle näis see olevat lehmakauplusega kindlaks määrat aktsiaseltsi koosolek , kus dividendid ja vastavad ametid kõik enne kindlaks määratud . Õieti oli see kahe rinde telgitaguste .ja kulissidevaheliste kokkulepete fikseerimine , ja siingi olid mängus päämiselt maised"	"huvid"	". Oleks kahju , kui meie vaimuelu äristumine edasi areneks , ja vaimliste-ideeliste huvide asemel ainult organisatsiooniküsimused esirinda jääks . Mulle oli see seda masendavam , et enne koosolekut hädakella löödi hoopis teistsuguse ohu suhtes . Õieti „ itsitan ma kahjatsedes “ sedagi seika , ja võib olla , on mu iroonia tallinlaste suhtes siiski põhjendet ja õieti suunat rohkem üksikute isikute vastu , kuigi sellest võis välja paista nördimus EKL aadressil . Võtan selle lause meelsasti tagasi , samuti kogu selle õnnetu värsi . Loodan küll , et ma jooksval aastal Sind oma loomingu ridadega enam ei tülita , sest , võib olla , ilmub mul sügisel siiski uus kogu , kus avaldamata värsse peaks olema vähemalt 50 protsenti . Kas ma üldse kirjastaja leian , kes kunstipärasema välimuse eestki hoolitseks , sest enesel on kirjastamise huvi lõplikult kadunud , kuna ei suuda enam endiste kogude bilanssi ja raamatupidamist korras hoida ? Kaua ma ennast ikka ise turustan ? Võib olla jääb see – arvult kümnes kogu sahtlisse lamama , muidu mõni näeb viimaks veel konkurrentsiviirastusi , nagu Vilmar Adamsi kohta räägitakse , kes tahaks jääda üksiku autorina ja parima kogu omanikuna meie Parnassile . Minule teeb sarnane asi nalja , ega taha ma kellegiga konkurreerida , vähemalt Adamsiga mitte . Noorurid on vähemalt ses suhtes idealistid , nagu kuulda on ."	"Semper"	"Barbarus"	"1937"
"Semperi ja Barbaruse kirjavahetus"	"5095"	"Ja õieti , ega’s minugi „ Loomingule "" saadet värsid polnud paremad hispaanlaste omist : samuti ebaselged , ebatäpsad , ehk jälle EKL-u glooriat tumestavad . Nii on muidugi hää , kuidas Sina toimisid , nii on parem Sulle ja mulle , kuigi koosoleku meeleolu oli edasi antud minu parima äratundmise järele . Võib olla ei saa ma ketserina kunagi ühtki asja pühaku seisukohalt käsitada , ja väljendan vahel , eriti nüüdsel ülesehituse ajastul , nördimust ka sarnase auväärt asutuse suhtes /õigemine ühe osa kohta!/ , nagu seda on meie vaimustaab . Ent pettumus tekkis enne ülesköet vaimlise pinge puudusest , sest mulle näis see olevat lehmakauplusega kindlaks määrat aktsiaseltsi koosolek , kus dividendid ja vastavad ametid kõik enne kindlaks määratud . Õieti oli see kahe rinde telgitaguste .ja kulissidevaheliste kokkulepete fikseerimine , ja siingi olid mängus päämiselt maised huvid . Oleks kahju , kui meie vaimuelu äristumine edasi areneks , ja vaimliste-ideeliste"	"huvide"	"asemel ainult organisatsiooniküsimused esirinda jääks . Mulle oli see seda masendavam , et enne koosolekut hädakella löödi hoopis teistsuguse ohu suhtes . Õieti „ itsitan ma kahjatsedes “ sedagi seika , ja võib olla , on mu iroonia tallinlaste suhtes siiski põhjendet ja õieti suunat rohkem üksikute isikute vastu , kuigi sellest võis välja paista nördimus EKL aadressil . Võtan selle lause meelsasti tagasi , samuti kogu selle õnnetu värsi . Loodan küll , et ma jooksval aastal Sind oma loomingu ridadega enam ei tülita , sest , võib olla , ilmub mul sügisel siiski uus kogu , kus avaldamata värsse peaks olema vähemalt 50 protsenti . Kas ma üldse kirjastaja leian , kes kunstipärasema välimuse eestki hoolitseks , sest enesel on kirjastamise huvi lõplikult kadunud , kuna ei suuda enam endiste kogude bilanssi ja raamatupidamist korras hoida ? Kaua ma ennast ikka ise turustan ? Võib olla jääb see – arvult kümnes kogu sahtlisse lamama , muidu mõni näeb viimaks veel konkurrentsiviirastusi , nagu Vilmar Adamsi kohta räägitakse , kes tahaks jääda üksiku autorina ja parima kogu omanikuna meie Parnassile . Minule teeb sarnane asi nalja , ega taha ma kellegiga konkurreerida , vähemalt Adamsiga mitte . Noorurid on vähemalt ses suhtes idealistid , nagu kuulda on ."	"Semper"	"Barbarus"	"1937"
"Semperi ja Barbaruse kirjavahetus"	"5219"	"Ja õieti , ega’s minugi „ Loomingule "" saadet värsid polnud paremad hispaanlaste omist : samuti ebaselged , ebatäpsad , ehk jälle EKL-u glooriat tumestavad . Nii on muidugi hää , kuidas Sina toimisid , nii on parem Sulle ja mulle , kuigi koosoleku meeleolu oli edasi antud minu parima äratundmise järele . Võib olla ei saa ma ketserina kunagi ühtki asja pühaku seisukohalt käsitada , ja väljendan vahel , eriti nüüdsel ülesehituse ajastul , nördimust ka sarnase auväärt asutuse suhtes /õigemine ühe osa kohta!/ , nagu seda on meie vaimustaab . Ent pettumus tekkis enne ülesköet vaimlise pinge puudusest , sest mulle näis see olevat lehmakauplusega kindlaks määrat aktsiaseltsi koosolek , kus dividendid ja vastavad ametid kõik enne kindlaks määratud . Õieti oli see kahe rinde telgitaguste .ja kulissidevaheliste kokkulepete fikseerimine , ja siingi olid mängus päämiselt maised huvid . Oleks kahju , kui meie vaimuelu äristumine edasi areneks , ja vaimliste-ideeliste huvide asemel ainult organisatsiooniküsimused esirinda jääks . Mulle oli see seda masendavam , et enne koosolekut hädakella löödi hoopis teistsuguse ohu suhtes . Õieti „ itsitan ma kahjatsedes “ sedagi seika , ja võib olla , on mu iroonia tallinlaste suhtes siiski põhjendet ja õieti suunat rohkem üksikute isikute vastu , kuigi sellest võis välja paista nördimus EKL aadressil . Võtan selle lause meelsasti tagasi , samuti kogu selle õnnetu värsi . Loodan küll , et ma jooksval aastal Sind oma loomingu ridadega enam ei tülita , sest , võib olla , ilmub mul sügisel siiski uus kogu , kus avaldamata värsse peaks olema vähemalt 50 protsenti . Kas ma üldse kirjastaja leian , kes kunstipärasema välimuse eestki hoolitseks , sest enesel on kirjastamise"	"huvi"	"lõplikult kadunud , kuna ei suuda enam endiste kogude bilanssi ja raamatupidamist korras hoida ? Kaua ma ennast ikka ise turustan ? Võib olla jääb see – arvult kümnes kogu sahtlisse lamama , muidu mõni näeb viimaks veel konkurrentsiviirastusi , nagu Vilmar Adamsi kohta räägitakse , kes tahaks jääda üksiku autorina ja parima kogu omanikuna meie Parnassile . Minule teeb sarnane asi nalja , ega taha ma kellegiga konkurreerida , vähemalt Adamsiga mitte . Noorurid on vähemalt ses suhtes idealistid , nagu kuulda on ."	"Semper"	"Barbarus"	"1937"
"Semperi ja Barbaruse kirjavahetus"	"6670"	"Suveülikonda seljast heites , leidsin põuetaskust Sinult saadud ankeedilehe , millele vastuste kirjutamine üsna hoogu läinud , ja millele mindki käskisid vastata. Nii mõnigi eelmine vastus on osa mõtteid juba kustutanud , ja raske on ühel ja samal teemal midagi uut ütelda , aga olgu need improviseeritud ja rutuga visatud read siiski minu nimega fikseeritud . Leidsin veel ka ühe ripakile jäänud värsi , mille ruumi leidmise puhul võid „ Looming“usse riputada , olgugi , et vaikida lubasin . Kui hästi mu vastus ja värss trükimusta kannatab , eks seda otsusta ise . Peab ju ikka nii mõndagi mõtetekäiku kontrollima , et see kuidagi konflikti ei tekita . Eks see ankeet olegi kujunend õhuauguks nii mõnelegi lämbujale , ja arvatavasti ei saa siin keegi suukorvi-süsteemi tarvitada . Olen möödund puhkusega küll palju energiat hankinud , aga töö vajus jälle kõva laviinina kaela , et tuleb investeeri kõik argipäeva kontosse , ning vaimutööks jäävad ikka riismed . Sellest see vastuski veidi katkendiline ja ebamäärane . Kui vaja , tarvita punast pliiatsit toimetaja karmusega . Komsilt ära sõites , lubasin Lillule pakikese saata , mida ka tegin esimesel päeval , kui post avati . Küllap see saabus , ja , võib olla , on isegi tagajärjed juba teada ? Oleksin küll ka nurmkanu saatnud , sest neid sai terve koti täis Pärnu toodud , aga kartsin lindude halvaksminekut . See oleks Sulle"	"meenutanud"	"Su sünnipäeva /Toujours perdrix!/ . Siin pole veel aega saanud põldudele minna . Varsi vaja Ring’ile kaastööd vaatama hakata , ja nõnda tekib uusi kohustusi . Kirjutan vist kahest kultuurikaitselisest kongressist , kuna Sina annaksid siis prantsuse kirjanduse rivistumise üle vastava ülevaate . Nii oleks meie teemad kaunis naaberlikud , aga siiski ehk üksteist täiendavad . Raamat tuleks marseljeesi analüüsiga ja tekstiga , seega omamoodi Portrait de la France . Tuleks analüüsida ja mainida sääl meie anthologie’d ja ka Cathala teost , mida Sa Loomingus juba tegid . Kes kõik kavatsused teostab , see selgub muidugi N.A. vastavate läbirääkimiste järele , ent ma usun , et rahvas passiivseks ei jää . Nii on jälle häämeel tunda kollektiivset rühkimist ja loomingut ."	"Semper"	"Barbarus"	"1937"
"Semperi ja Barbaruse kirjavahetus"	"7492"	"Saadan tänumeelseid tervitusi teile &amp;amp;amp ; teistele tartlastele ! Sütistele ta „ Ringkäigu “ eest käepigistus ! Olen ta aadressi kaotanud , ega saa otsekohe tänada . Minu oma raamat hilineb illustreerimise „ tempo “ tõttu . Ent"	"huvi"	"selle vastu on ammu kadunud . Elage hästi &amp;amp;amp ; lõbusasti !"	"Semper"	"Barbarus"	"1937"
"Semperi ja Barbaruse kirjavahetus"	"7658"	"Nii siis ongi varsi lõpp aastal , mis ehk kõige masendavamalt on mõjunud minu meeltele . Hispaania tragöödia , Hiina piinad , kogu maailma poliitika tagurline surve , et pead tundma diktatuuri talda otse oma päälael , – meie kodune tüürimine , mis on kõike muud , kui aus , ja mida jälgid , kui halba romaani , kus tegevustik etteaimatav , läbipaistev ja šablooniline . Kompositsioonilt ja stiililt käib see vanu tuntud radu , mõne vähese kõrvalkaldumisega ja eestipärasusega . Võis ammu juba oodata vapside amnestiat , kus minnakse oma poole võitma seda blond’i bestiat , sest seljatuge ja tausta on ikkagi vaja leida . See meie vabariigi vähjakäik"	"meenutab"	"Sinu räägitud A. Beljõi seika : „ Krebse , Krebse ! “ – Üsna elusad ja mustad vähjad , mis keeteski vist ei punastu , ega punasta . Mõni saab sest üle huumoriga , ent siis peab inimene ükskõikne olema oma maa saatuse suhtes . Mina pole kahjuks veel paksu nahka kasvatada saanud ."	"Semper"	"Barbarus"	"1937"
"Semperi ja Barbaruse kirjavahetus"	"7701"	"Nii siis ongi varsi lõpp aastal , mis ehk kõige masendavamalt on mõjunud minu meeltele . Hispaania tragöödia , Hiina piinad , kogu maailma poliitika tagurline surve , et pead tundma diktatuuri talda otse oma päälael , – meie kodune tüürimine , mis on kõike muud , kui aus , ja mida jälgid , kui halba romaani , kus tegevustik etteaimatav , läbipaistev ja šablooniline . Kompositsioonilt ja stiililt käib see vanu tuntud radu , mõne vähese kõrvalkaldumisega ja eestipärasusega . Võis ammu juba oodata vapside amnestiat , kus minnakse oma poole võitma seda blond’i bestiat , sest seljatuge ja tausta on ikkagi vaja leida . See meie vabariigi vähjakäik meenutab Sinu räägitud A. Beljõi seika : „ Krebse , Krebse ! “ – Üsna elusad ja mustad vähjad , mis keeteski vist ei punastu , ega punasta . Mõni saab sest üle huumoriga , ent siis peab inimene ükskõikne olema oma maa"	"saatuse"	"suhtes . Mina pole kahjuks veel paksu nahka kasvatada saanud ."	"Semper"	"Barbarus"	"1937"
"Semperi ja Barbaruse kirjavahetus"	"8554"	"Aasta ripub juba paari viimase niidikese küljes ja siis ta kukub teiste omataoliste hulka kõdunema . Reaktsiooni must vari venib küll üle tulevagi aasta . Hakatakse mängima rahvatahte avaldamise komöödiat . Nagu Saksas nägime ja Veneski . Lubatavat kõige rohkem kümme vastasrindlast läbi minna . Mis tähendab siis , et vastasrinne energilisemalt kui seni ka tegutsema hakkab . Ei usu , et asja kraadigi võrd vabamaks käänab meie armas Jüri , kui see , nagu kuulda , varsti pääministriks kutsutakse . On ta ju kogu oma olemuselt konservatiivne , formalist , pedant , lojaalne ja sõnatellingute varal oma „ õigust “ üles ehitav , nagu Sa koolipõlvest mäletad . Mis aitab praeguses konjuktuuris ta leplikkus ja ettevaatlikkus vastastegi suhtes ? Niisiis astume ühest varjulisest-varjutatud aastast teise . Väljaspool pole ka midagi lohutavat oodata . Terueli sündmused tegid"	"hetkeks"	"rõõmu , näidates , et ka siinpool võidakse aktiivsed olla , mitte ainult vastupanulased . Võib-olla on see hää ennustus . 5. jaanuaril peab Palencia Riiast siin kõne „ kunstiaarete saatusest Hispaanias “ , küllap siis kuuleme , mis tema edaspidise kohta arvab ennustada võivat ."	"Barbarus"	"Semper"	"1937"
"Semperi ja Barbaruse kirjavahetus"	"8585"	"Aasta ripub juba paari viimase niidikese küljes ja siis ta kukub teiste omataoliste hulka kõdunema . Reaktsiooni must vari venib küll üle tulevagi aasta . Hakatakse mängima rahvatahte avaldamise komöödiat . Nagu Saksas nägime ja Veneski . Lubatavat kõige rohkem kümme vastasrindlast läbi minna . Mis tähendab siis , et vastasrinne energilisemalt kui seni ka tegutsema hakkab . Ei usu , et asja kraadigi võrd vabamaks käänab meie armas Jüri , kui see , nagu kuulda , varsti pääministriks kutsutakse . On ta ju kogu oma olemuselt konservatiivne , formalist , pedant , lojaalne ja sõnatellingute varal oma „ õigust “ üles ehitav , nagu Sa koolipõlvest mäletad . Mis aitab praeguses konjuktuuris ta leplikkus ja ettevaatlikkus vastastegi suhtes ? Niisiis astume ühest varjulisest-varjutatud aastast teise . Väljaspool pole ka midagi lohutavat oodata . Terueli sündmused tegid hetkeks rõõmu , näidates , et ka siinpool võidakse aktiivsed olla , mitte ainult vastupanulased . Võib-olla on see hää ennustus . 5. jaanuaril peab Palencia Riiast siin kõne „ kunstiaarete"	"saatusest"	"Hispaanias “ , küllap siis kuuleme , mis tema edaspidise kohta arvab ennustada võivat ."	"Barbarus"	"Semper"	"1937"
"Semperi ja Barbaruse kirjavahetus"	"8636"	"Ootan Sinu novelli suure põnevusega . Saan ta kohe jaanuari numbri panna . Oleks hääks uudispalaks . „ Varamu “ esimene number jätab nigelavõitu mulje . Välja arvatud mõned reproduktsioonid , ei ole siin midagi"	"huvitavat"	"ega lohutavat . Isegi mitte programmaatlikkuse mõttes . 2500-kroonilise toetusega iga numbri kohta võiks vähemalt pabergi olla soliidsem . Isegi Tartu ülejooksik Sütiste näib pettunud olevat . Astus teine küll „ Loomingu "" toimkonnast nobedasti välja , kui Tuglas talle väikese ääremärkuse tegi , et imelik küll , ühe ajakirja toimetuses istub ja teisele teeb kaastööd , aga süda pole nagu näha rahul . Et Hiir oma puust värssidega sinnapoole piilub , on arusaadav ja „ Loomingu "" seisukohast kergendustundega vastuvõetav . Ja ometi seesama Hiireke oli kümme aastat tagasi teisekarvaline , nagu näitab ta „ Päikeselised laulud "" . Seesinane kogu ei saanud ilmumisluba tükil ajal – oli ära märgitud kuus luuletust , mis on sihitud "" meie valitsuskorra vastu "" ! Samal ajal oli aga autor oma 30 eksemplari trükikojast kätte saanud ja nad laiali jaganud , fakt , mille eest tohib isegi trükikoda sulgeda ! „ Looduses "" algas siis niisugune müdin , mida enne polnud nähtud . Hiir saadeti prefekti juurde asja õiendama . Kaks tundi sääl seletusi annud , olla ta viimaks nii kaugele saanud , et kogu võis ilmuda . Eks siis olnud lust sisse vaadata , mis hädaohtlikku sääl sees leidub . Ja siis nägin , et tõesti „ Puhtevirra "" Hiir polnudki hall ( seda kogu pole ma küll lugenud ) , kuid tal oli nüüd naiivsust ja lihtsameelsust küllalt , et tööeestlase isamaaluule kõrvale seada patsifistlikke ja isegi pisut punakaid värsse minevikust ."	"Barbarus"	"Semper"	"1937"
